,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
26,,,阿里地区,2017,,,1662.0,,,,2,100.0,100.0,6.164
27,,,玉树藏族自治州,2010,,,1035.0,,,,2,100.0,100.0,6.164
28,0.4072,,果洛藏族自治州,2005,,,378.0,,,,2,100.0,100.0,6.164
29,0.35600000000000004,,果洛藏族自治州,2006,,,415.0,,,,2,100.0,100.0,6.164
30,,,玉树藏族自治州,2011,,,1171.0,,,,2,100.0,100.0,6.164
31,,,阿里地区,2018,,,2185.0,,,,2,100.0,100.0,6.164
32,0.4682,,果洛藏族自治州,2007,,,510.0,,,,2,100.0,100.0,6.164
33,,,玉树藏族自治州,2012,,,1513.0,,,,2,100.0,100.0,6.164
34,,,阿里地区,2019,,,2551.0,,,,2,100.0,100.0,6.164
35,,,果洛藏族自治州,2008,,,589.0,,,,2,100.0,100.0,6.164
36,,,玉树藏族自治州,2014,,,1767.0,,,,2,100.0,100.0,6.164
37,0.6027,,果洛藏族自治州,2009,,,766.0,,,,2,100.0,100.0,6.164
38,,,玉树藏族自治州,2015,,,2125.0,,,,2,100.0,100.0,6.164
39,,,玉树藏族自治州,2016,,,2134.0,,,,2,100.0,100.0,6.164
40,,,果洛藏族自治州,2010,,,893.0,,,,2,100.0,100.0,6.164
41,,,玉树藏族自治州,2013,,,2553.0,,,,2,100.0,100.0,6.164
